,Name,Category,Number of Followers,Account created Date,Number of Likes,TwitterHandle,Content,RetweetCount,Location
10362,julie k. brown,Pioneer,228955,2009-03-16 19:33:13+00:00,185,https://twitter.com/jkbjournalist,"NEW: “Hate” group hosts $1,500-a-plate gala at Trump’s Winter White House — story by ⁦@Blaskey_S⁩ ⁦@NickNehamas⁩
@MiamiHerald https://t.co/AcmmbGzk23",232,Miami Florida
10363,julie k. brown,Pioneer,228955,2009-03-16 19:33:13+00:00,260,https://twitter.com/jkbjournalist,CIA top lawyer made 'criminal referral' on complaint about Trump call https://t.co/3ea0O5PbWg via @nbcnews,88,Miami Florida
10364,julie k. brown,Pioneer,228955,2009-03-16 19:33:13+00:00,251,https://twitter.com/jkbjournalist,Amazing piece of journalism by @miamiherald intern @romyellenbogen shows the power of film in exposing the cruelty in America's prisons -- We should all be ashamed that this is happening in America. https://t.co/wr0rQkX1J2,130,Miami Florida
10365,julie k. brown,Pioneer,228955,2009-03-16 19:33:13+00:00,369,https://twitter.com/jkbjournalist,NEW by @JaneMayerNYer @NewYorker: How America’s news organizations remain susceptible to manipulation by political partisans: case in point -- the Biden-Ukraine conspiracy theory.  https://t.co/AX56LJtt8X,219,Miami Florida
10366,julie k. brown,Pioneer,228955,2009-03-16 19:33:13+00:00,631,https://twitter.com/jkbjournalist,"MIAMI HERALD EXCLUSIVE: A bootleg film shot by inmates gives a brutal snapshot of daily life in Florida’s prisons — brawls, thick black mold, inmates passed out and smoking drugs. When will Florida lawmakers wake up? ⁦@RonDeSantisFL⁩
https://t.co/wr0rQkX1J2",381,Miami Florida
10367,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,266,https://twitter.com/jkbjournalist,Thank you. It means a lot coming from you. #LKMA19 @TempleAlumni https://t.co/Mz85A2xfph,32,Miami Florida
10368,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,577,https://twitter.com/jkbjournalist,So honored today to be given the Lew Klein Alumni in Media Award from my Alma Mater @TempleUniv — along with fellow Eagles/Phillies fan and badass journo @jaketapper who was honored w an Excellence in Media Award. #LKMA19 #TempleTuff https://t.co/UfsGTJGUjJ,51,Miami Florida
10369,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,77,https://twitter.com/jkbjournalist,"Alan Dershowitz hopes surreptitiously recorded call will lift cloud of Epstein allegations
https://t.co/VaiF5DCdDj",52,Miami Florida
10370,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,6650,https://twitter.com/jkbjournalist,This must be a fucking great book. ⁦@RonanFarrow⁩  https://t.co/Vcv3Yw0fzL,1450,Miami Florida
10371,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,99,https://twitter.com/jkbjournalist,#OneHeraldGuild https://t.co/wO4hQ3njvw,22,Miami Florida
10372,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,116,https://twitter.com/jkbjournalist,"@MiamiHerald @elnuevoherald Today we’re asking @McClatchy to voluntarily recognize us and join us at the table to negotiate a contract that will protect our newsroom and its employees. 
You can support us and our journalism by tweeting and using #OneHeraldGuild, and checking out https://t.co/BMWdylhAjf.",48,Miami Florida
10373,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,121,https://twitter.com/jkbjournalist,"@MiamiHerald @elnuevoherald When staff is laid off or pay is cut, veteran reporters are forced to take buyouts or younger reporters leave because they can’t afford to live in Miami – all of that affects our ability to do the kind of hard-hitting journalism that we take pride in @MiamiHerald.",26,Miami Florida
10374,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,203,https://twitter.com/jkbjournalist,"@MiamiHerald @elnuevoherald Investigative journalism holds the powerful accountable and is the backbone of our democracy. 

This union is about protecting the integrity of all of our work. #OneHeraldGuild",34,Miami Florida
10375,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,576,https://twitter.com/jkbjournalist,"Some news: Today we’re announcing our union! #OneHeraldGuild  
Over the last nine months, I’ve joined my colleagues from @miamiherald and @elnuevoherald in building our collective voice so we can have a say in the decisions that affect our journalism.",85,Miami Florida
10376,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,215,https://twitter.com/jkbjournalist,ICYMI: How Jeffrey Epstein acquired a second island hideaway | Miami Herald https://t.co/PwEQM4hHC2,118,Miami Florida
10377,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,716,https://twitter.com/jkbjournalist,The Washington Post: Why the world won’t forget the horror of Khashoggi’s murder https://t.co/7kHp2O8oNO,233,Miami Florida
10378,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,177,https://twitter.com/jkbjournalist,THIS from The Washington Post: Acting homeland security chief is frustrated and isolated  https://t.co/wh43nNu1fO,73,Miami Florida
10379,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,223,https://twitter.com/jkbjournalist,https://t.co/kDi4X1quIN,69,Miami Florida
10380,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,2053,https://twitter.com/jkbjournalist,"NEW: For Jeffrey Epstein, one island hideaway wasn’t enough. How he stealthily acquired a second
https://t.co/PwEQM4hHC2",1212,Miami Florida
10381,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,3655,https://twitter.com/jkbjournalist,"BREAKING: Jeffrey Epstein’s sex victims turn to appeals court after judge denies relief
https://t.co/WLZ79sNseV",1679,Miami Florida
10382,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,4227,https://twitter.com/jkbjournalist,"‘He conned us from day one’: Giuliani’s Ukraine ally leaves trail of South Florida debts
https://t.co/bixEXP7OO4",2237,Miami Florida
10383,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,520,https://twitter.com/jkbjournalist,Bonnie Raitt gave me strength at a time when I was 16 years old and on my own,40,Miami Florida
10384,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,1220,https://twitter.com/jkbjournalist,Please retweet if you love Bonnie Raitt like me. ❤️ https://t.co/6jpMrUqsbz,582,Miami Florida
10385,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,2729,https://twitter.com/jkbjournalist,There is nobody who is a bigger Bonnie Raitt fan than I. And “Angel from Montgomery” is my fav BR song.,110,Miami Florida
10386,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,3646,https://twitter.com/jkbjournalist,Just retweeting...because @robreiner https://t.co/kstBwPo1C2,499,Miami Florida
10387,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,402,https://twitter.com/jkbjournalist,Guess where this is. If you get it right you win. https://t.co/R1keOcHQoR,27,Miami Florida
10388,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,113,https://twitter.com/jkbjournalist,"@KathyFndzRundle A reminder of this horrendous injustice, which led to reforms in the way Florida prisons treats inmates with disabilities. https://t.co/OYw4C03OfC",51,Miami Florida
10389,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,362,https://twitter.com/jkbjournalist,"Ghost of Darren Rainey still haunts Miami-Dade state attorney @KathyFndzRundle who failed to prosecute the officers who forced Rainey, who was mentally ill, in a scalding hot shower, where he suffered an agonizing death. https://t.co/vc8O3OenVB",186,Miami Florida
10390,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,3028,https://twitter.com/jkbjournalist,This is a huge American tragedy — that our nation’s leaders are ignoring. 😢 https://t.co/jl1BU0aRGp,1457,Miami Florida
10391,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,220,https://twitter.com/jkbjournalist,@KatyTurNBC = badass https://t.co/bq04ge0jce,27,Miami Florida
10392,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,2358,https://twitter.com/jkbjournalist,Oh my. https://t.co/Fs2zTfF65u,334,Miami Florida
10393,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,513,https://twitter.com/jkbjournalist,BREAKING: here is the whistleblower complaint https://t.co/PrcRhvw1AB,193,Miami Florida
10394,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,117,https://twitter.com/jkbjournalist,Hasty Pudding Theatricals Undergrads Petition Grad Members to Donate Epstein-Linked Funds | News | The Harvard Crimson https://t.co/a6FdMqzBr3,30,Miami Florida
10395,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,1382,https://twitter.com/jkbjournalist,"The judiciary needs to consider IF they enabled Jeffrey Epstein by allowing all these documents to be SEALED in the first place. By giving anonymous John Does a place at this table, what message are you sending to rich and powerful men?",300,Miami Florida
10396,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,1743,https://twitter.com/jkbjournalist,Maybe we should make the same demands of these Jeffrey Epstein “John Does” that our system makes of the Jane Does — which means — “we don’t believe you if you don’t go public.” That’s the twisted logic the CJ system uses against victims.,360,Miami Florida
10397,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,1819,https://twitter.com/jkbjournalist,It’s amazing to me that all these women have the guts to come forward — in PUBLIC — and there are these “John Does” who can object to these allegations under the cloak of secrecy. No wonder sexual assault survivors are afraid.,389,Miami Florida
